fsw,cap,ind,pl_i_cu
20000.0,0.0003686315789473684,0.0007157894736842105,4.54326
20000.0,0.0003686315789473684,0.0007631578947368422,4.69088
20000.0,0.0003686315789473684,0.0008105263157894738,4.83411
20000.0,0.0003686315789473684,0.0008578947368421053,4.97308
20000.0,0.0003686315789473684,0.0009052631578947369,5.10837
20000.0,0.0003686315789473684,0.0009526315789473685,5.24015
20000.0,0.0003686315789473684,0.001,5.36873
20000.0,0.00040436842105263156,0.0001,1.44232
20000.0,0.00040436842105263156,0.00014736842105263158,2.07114
20000.0,0.00040436842105263156,0.00019473684210526317,2.36843
20000.0,0.00040436842105263156,0.00024210526315789473,2.6346
20000.0,0.00040436842105263156,0.00028947368421052634,2.87726
20000.0,0.00040436842105263156,0.0003368421052631579,3.10148
20000.0,0.00040436842105263156,0.00038421052631578946,3.31063
20000.0,0.00040436842105263156,0.0004315789473684211,3.50741
20000.0,0.00040436842105263156,0.00047894736842105264,3.69391
20000.0,0.00040436842105263156,0.0005263157894736842,3.89739
20000.0,0.00040436842105263156,0.0005736842105263159,4.06848
20000.0,0.00040436842105263156,0.0006210526315789474,4.23262
20000.0,0.00040436842105263156,0.000668421052631579,4.39074
20000.0,0.00040436842105263156,0.0007157894736842105,4.54317
20000.0,0.00040436842105263156,0.0007631578947368422,4.69089
20000.0,0.00040436842105263156,0.0008105263157894738,4.83405
20000.0,0.00040436842105263156,0.0008578947368421053,4.97313
20000.0,0.00040436842105263156,0.0009052631578947369,5.10845
20000.0,0.00040436842105263156,0.0009526315789473685,5.24013
20000.0,0.00040436842105263156,0.001,5.36878
20000.0,0.0004401052631578947,0.0001,1.44235
20000.0,0.0004401052631578947,0.00014736842105263158,2.07128
20000.0,0.0004401052631578947,0.00019473684210526317,2.36844
20000.0,0.0004401052631578947,0.00024210526315789473,2.63468
20000.0,0.0004401052631578947,0.00028947368421052634,2.87727
20000.0,0.0004401052631578947,0.0003368421052631579,3.10133
20000.0,0.0004401052631578947,0.00038421052631578946,3.31057
20000.0,0.0004401052631578947,0.0004315789473684211,3.50748
20000.0,0.0004401052631578947,0.00047894736842105264,3.69399
20000.0,0.0004401052631578947,0.0005263157894736842,3.89743
20000.0,0.0004401052631578947,0.0005736842105263159,4.06852
20000.0,0.0004401052631578947,0.0006210526315789474,4.23254
20000.0,0.0004401052631578947,0.000668421052631579,4.39074
20000.0,0.0004401052631578947,0.0007157894736842105,4.54327
20000.0,0.0004401052631578947,0.0007631578947368422,4.69091
20000.0,0.0004401052631578947,0.0008105263157894738,4.8341
20000.0,0.0004401052631578947,0.0008578947368421053,4.97315
20000.0,0.0004401052631578947,0.0009052631578947369,5.10838
20000.0,0.0004401052631578947,0.0009526315789473685,5.24016
20000.0,0.0004401052631578947,0.001,5.36876
20000.0,0.0004758421052631579,0.0001,1.44213
20000.0,0.0004758421052631579,0.00014736842105263158,2.07112
20000.0,0.0004758421052631579,0.00019473684210526317,2.36856
20000.0,0.0004758421052631579,0.00024210526315789473,2.63473
20000.0,0.0004758421052631579,0.00028947368421052634,2.87709
20000.0,0.0004758421052631579,0.0003368421052631579,3.10145
20000.0,0.0004758421052631579,0.00038421052631578946,3.31051
20000.0,0.0004758421052631579,0.0004315789473684211,3.5075
20000.0,0.0004758421052631579,0.00047894736842105264,3.69395
20000.0,0.0004758421052631579,0.0005263157894736842,3.89733
20000.0,0.0004758421052631579,0.0005736842105263159,4.06847
20000.0,0.0004758421052631579,0.0006210526315789474,4.23265
20000.0,0.0004758421052631579,0.000668421052631579,4.3907
20000.0,0.0004758421052631579,0.0007157894736842105,4.54327
20000.0,0.0004758421052631579,0.0007631578947368422,4.6909
20000.0,0.0004758421052631579,0.0008105263157894738,4.83405
20000.0,0.0004758421052631579,0.0008578947368421053,4.97313
