part_no,value,volume,ESR,ESL
EKZE250Exx470ME11D+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,144.45213379469436,2.522,154.24965659928344,3.038e-07
EKZE250Exx471MH20D+EKZE250Exx471MH20D/EKZE250Exx101MF11D,335.0,2.354,66.51251353094135,1.31e-07
EKZE250Exx471MH20D+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,335.0,2.605,66.51251353094135,1.31e-07
EKZE250Exx471MH20D+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,377.9130434782609,2.919,58.95983855912369,1.161e-07
EKZE250Exx471MH20D+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,398.7596899224806,3.312,55.87749362829763,1.101e-07
EKZE250Exx471MJ16S+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,335.0,2.856,66.51251353094135,1.31e-07
EKZE250Exx471MJ16S+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,377.9130434782609,3.17,58.95983855912369,1.161e-07
EKZE250Exx471MJ16S+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,398.7596899224806,3.563,55.87749362829763,1.101e-07
EKZE250Exx681MJ20S+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,440.0,3.484,50.64020916560307,9.98e-08
EKZE250Exx681MJ20S+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,471.73333333333335,3.877,47.233660329703255,9.3e-08
EKZE250Exx821MJ25S+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,510.0,4.27,43.68959222130461,8.61e-08
EKZE250Exx101MF11D+EKZE250Exx101MF11D/EKZE250Exx221MHB5D,270.0,1.264,82.52478530690871,1.626e-07
EKZE250Exx101MF11D+EKZE250Exx102MK20S/EKZE250Exx221MHB5D,310.9090909090909,3.375,71.66626092442071,1.412e-07
EKZE250Exx101MF11D+EKZE250Exx152MK25S/EKZE250Exx221MHB5D,313.75,3.989,71.01734512467044,1.399e-07
EKZE250Exx101MF11D+EKZE250Exx182MK30S/EKZE250Exx221MHB5D,314.7368421052632,4.603,70.794673683017,1.394e-07
EKZE250Exx101MF11D+EKZE250Exx182ML20S/EKZE250Exx221MHB5D,314.7368421052632,4.942,70.794673683017,1.394e-07
