part_no,value,volume,ESR,ESL
EKZE250Exx221MHB5D+EKZE250Exx470ME11D/EKZE250Exx221MHB5D,258.7265918,1.372,86.12061049,1.70E-07
EKZE250Exx331MH15D+EKZE250Exx470ME11D/EKZE250Exx221MHB5D,261.1405836,1.548,85.32450885,1.68E-07
EKZE250Exx331MJC5S+EKZE250Exx470ME11D/EKZE250Exx221MHB5D,261.1405836,1.776,85.32450885,1.68E-07
EKZE250Exx470ME11D+EKZE250Exx471MH20D/EKZE250Exx221MHB5D,262.7272727,1.799,84.80920843,1.67E-07
EKZE250Exx470ME11D+EKZE250Exx471MJ16S/EKZE250Exx221MHB5D,262.7272727,2.051,84.80920843,1.67E-07
EKZE250Exx470ME11D+EKZE250Exx681MJ20S/EKZE250Exx221MHB5D,263.9614856,2.365,84.41266341,1.66E-07
EKZE250Exx470ME11D+EKZE250Exx821MJ25S/EKZE250Exx221MHB5D,264.4521338,2.758,84.25604934,1.66E-07
EKZE250Exx102MK20S+EKZE250Exx470ME11D/EKZE250Exx221MHB5D,264.8901624,3.248,84.11672156,1.66E-07
EKZE250Exx331MH15D+EKZE250Exx331MH15D/EKZE250Exx101MF11D,265,1.851,84.08185673,1.66E-07
EKZE250Exx331MH15D+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,265,2.079,84.08185673,1.66E-07
EKZE250Exx331MJC5S+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,265,2.306,84.08185673,1.66E-07
EKZE250Exx152MK25S+EKZE250Exx470ME11D/EKZE250Exx221MHB5D,265.572075,3.862,83.90073404,1.65E-07
EKZE250Exx182MK30S+EKZE250Exx470ME11D/EKZE250Exx221MHB5D,265.8040065,4.476,83.82752512,1.65E-07
EKZE250Exx182ML20S+EKZE250Exx470ME11D/EKZE250Exx221MHB5D,265.8040065,4.815,83.82752512,1.65E-07
EKZE250Exx222MK35S+EKZE250Exx470ME11D/EKZE250Exx221MHB5D,266.0169114,5.089,83.7604343,1.65E-07
EKZE250Exx272ML25S+EKZE250Exx470ME11D/EKZE250Exx221MHB5D,266.19585,5.821,83.70412999,1.65E-07
EKZE250Exx221MHB5D+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,266.2222222,2.492,83.69583819,1.65E-07
EKZE250Exx221MHB5D/EKZE250Exx470ME11D,267,0.794,83.45203009,1.64E-07
EKZE250Exx331MH15D+EKZE250Exx681MJ20S/EKZE250Exx470ME11D,269.1782178,2.541,82.77672768,1.63E-07
EKZE250Exx331MJC5S+EKZE250Exx681MJ20S/EKZE250Exx470ME11D,269.1782178,2.769,82.77672768,1.63E-07
EKZE250Exx101MF11D+EKZE250Exx101MF11D/EKZE250Exx221MHB5D,270,1.264,82.52478531,1.63E-07
EKZE250Exx152MK25S+EKZE250Exx331MH15D,270.4918033,3.822,82.37474024,1.62E-07
EKZE250Exx152MK25S+EKZE250Exx331MJC5S,270.4918033,4.05,82.37474024,1.62E-07
EKZE250Exx221MHB5D+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,273.4615385,2.884,81.48016777,1.61E-07
EKZE250Exx471MH20D+EKZE250Exx681MJ20S,277.9130435,2.576,80.17504956,1.58E-07
EKZE250Exx471MJ16S+EKZE250Exx681MJ20S,277.9130435,2.827,80.17504956,1.58E-07
EKZE250Exx182MK30S+EKZE250Exx331MH15D,278.8732394,4.436,79.89899668,1.57E-07
EKZE250Exx182MK30S+EKZE250Exx331MJC5S,278.8732394,4.663,79.89899668,1.57E-07
EKZE250Exx182ML20S+EKZE250Exx331MH15D,278.8732394,4.775,79.89899668,1.57E-07
EKZE250Exx182ML20S+EKZE250Exx331MJC5S,278.8732394,5.003,79.89899668,1.57E-07
EKZE250Exx102MK20S+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,280.3278689,3.375,79.48439848,1.57E-07
EKZE250Exx471MH20D+EKZE250Exx471MH20D/EKZE250Exx470ME11D,282,2.227,79.01309232,1.56E-07
EKZE250Exx471MH20D+EKZE250Exx471MJ16S/EKZE250Exx470ME11D,282,2.478,79.01309232,1.56E-07
EKZE250Exx471MJ16S+EKZE250Exx471MJ16S/EKZE250Exx470ME11D,282,2.729,79.01309232,1.56E-07
EKZE250Exx331MH15D+EKZE250Exx821MJ25S/EKZE250Exx470ME11D,282.3043478,2.933,78.92790956,1.56E-07
EKZE250Exx331MJC5S+EKZE250Exx821MJ25S/EKZE250Exx470ME11D,282.3043478,3.161,78.92790956,1.56E-07
EKZE250Exx222MK35S+EKZE250Exx331MH15D,286.9565217,5.049,77.64832072,1.53E-07
EKZE250Exx222MK35S+EKZE250Exx331MJC5S,286.9565217,5.277,77.64832072,1.53E-07
EKZE250Exx101MF11D+EKZE250Exx221MHB5D/EKZE250Exx221MHB5D,288.75,1.499,77.16603301,1.52E-07
EKZE250Exx152MK25S+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,291.8604651,3.989,76.34364601,1.50E-07
EKZE250Exx331MH15D+EKZE250Exx471MH20D/EKZE250Exx101MF11D,293.875,2.102,75.82030466,1.49E-07
EKZE250Exx331MH15D+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,293.875,2.354,75.82030466,1.49E-07
EKZE250Exx331MJC5S+EKZE250Exx471MH20D/EKZE250Exx101MF11D,293.875,2.33,75.82030466,1.49E-07
EKZE250Exx331MJC5S+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,293.875,2.581,75.82030466,1.49E-07
EKZE250Exx272ML25S+EKZE250Exx331MH15D,294.0594059,5.781,75.77275742,1.49E-07
EKZE250Exx272ML25S+EKZE250Exx331MJC5S,294.0594059,6.008,75.77275742,1.49E-07
EKZE250Exx102MK20S+EKZE250Exx331MH15D/EKZE250Exx470ME11D,295.1203008,3.424,75.50037045,1.49E-07
EKZE250Exx102MK20S+EKZE250Exx331MJC5S/EKZE250Exx470ME11D,295.1203008,3.652,75.50037045,1.49E-07
